nohup: ignoring input
[2026-08-03 15:09:31,363: INFO/MainProcess] beat: Starting...
[2026-08-03 15:27:35,909: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[76d03aea-6333-483d-93d4-36a08a9d6fee] succeeded in 4.498425868998311s: 3
[2026-08-03 15:28:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:28:32,828: INFO/MainProcess] Task app.tasks.snmp_poll_task[9d58df6c-2ab0-4d63-8255-6d10c7a48aed] succeeded in 1.4136283670013654s: 'green'
[2026-08-03 15:28:34,224: INFO/MainProcess] Task app.tasks.snmp_poll_task[cc5266f8-ad9d-4676-a6a4-3f9e15a8d97a] succeeded in 1.3953325760012376s: 'green'
[2026-08-03 15:28:35,626: INFO/MainProcess] Task app.tasks.snmp_poll_task[b5414a1b-8f2b-4836-89d3-e249b66342f0] succeeded in 1.401936537000438s: 'green'
[2026-08-03 15:28:35,626: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[5c3a4ff6-fc53-40bc-a526-8474858e8d30] succeeded in 4.215783014002227s: 3
[2026-08-03 15:29:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:29:32,714: INFO/MainProcess] Task app.tasks.snmp_poll_task[d26f7455-f3d3-47f7-874a-546b19d3ed0d] succeeded in 1.30056236299788s: 'green'
[2026-08-03 15:29:34,150: INFO/MainProcess] Task app.tasks.snmp_poll_task[e4a197df-91e6-4c55-9e3f-bfeff1fb2a12] succeeded in 1.435764941998059s: 'green'
[2026-08-03 15:29:35,571: INFO/MainProcess] Task app.tasks.snmp_poll_task[df40094e-2bc4-40a4-9dbc-b59708052e02] succeeded in 1.4203061779990094s: 'green'
[2026-08-03 15:29:35,571: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[9f1ff973-4a6f-4a23-a854-6a3dcd69661c] succeeded in 4.160474181000609s: 3
[2026-08-03 15:30:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:30:32,965: INFO/MainProcess] Task app.tasks.snmp_poll_task[30c45e67-88bf-41a9-baf1-eaf1d31f01a6] succeeded in 1.5501270450004085s: 'green'
[2026-08-03 15:30:34,305: INFO/MainProcess] Task app.tasks.snmp_poll_task[5d32f68c-dae6-440c-a0a9-b3cfdcc95aeb] succeeded in 1.3384355009984574s: 'green'
[2026-08-03 15:30:35,670: INFO/MainProcess] Task app.tasks.snmp_poll_task[0ed8b90d-d244-417e-a971-43007aedbe30] succeeded in 1.365169976001198s: 'green'
[2026-08-03 15:30:35,671: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[4b53463b-cb5c-44e1-84d5-9b7062d630b0] succeeded in 4.259802376000152s: 3
[2026-08-03 15:31:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:31:32,927: INFO/MainProcess] Task app.tasks.snmp_poll_task[8c248aa7-d850-4982-95da-b8601fad61cb] succeeded in 1.5131293250015005s: 'green'
[2026-08-03 15:31:34,239: INFO/MainProcess] Task app.tasks.snmp_poll_task[fbdd52b1-b7ff-43ca-b2c7-940474b06e87] succeeded in 1.3110945520020323s: 'green'
[2026-08-03 15:31:35,836: INFO/MainProcess] Task app.tasks.snmp_poll_task[2e510abe-a184-4ac9-b2e4-0859f4f8f6f5] succeeded in 1.5963996060017962s: 'green'
[2026-08-03 15:31:35,837: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[1eecf3be-9882-4851-ad01-0cb91bcad098] succeeded in 4.426126076999935s: 3
[2026-08-03 15:32:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:32:32,848: INFO/MainProcess] Task app.tasks.snmp_poll_task[ee6c6607-f1ba-4557-8193-5bcd0cd04463] succeeded in 1.4343895220008562s: 'green'
[2026-08-03 15:32:34,357: INFO/MainProcess] Task app.tasks.snmp_poll_task[cd00c7f0-bfd4-4eea-80ac-cd0e99318467] succeeded in 1.508108728001389s: 'green'
[2026-08-03 15:32:35,817: INFO/MainProcess] Task app.tasks.snmp_poll_task[93369514-7203-4d9b-99cb-09f1cb004a72] succeeded in 1.4597109720016306s: 'green'
[2026-08-03 15:32:35,818: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[6f6cdcba-b6ce-4d0b-aa3e-a8cf3fc34d87] succeeded in 4.406940143999236s: 3
[2026-08-03 15:33:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:33:32,792: INFO/MainProcess] Task app.tasks.snmp_poll_task[59253b05-662b-4070-9fce-383fb8243aec] succeeded in 1.377378035998845s: 'green'
[2026-08-03 15:33:34,168: INFO/MainProcess] Task app.tasks.snmp_poll_task[c11e81f7-35e0-4a30-bc48-56e9fc496d90] succeeded in 1.3761086129998148s: 'green'
[2026-08-03 15:33:35,584: INFO/MainProcess] Task app.tasks.snmp_poll_task[06d1f591-12a4-48b5-af49-42b981af8e1d] succeeded in 1.4158309300000838s: 'green'
[2026-08-03 15:33:35,585: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[69b23003-a2d0-43fa-a49c-ab630cb197e5] succeeded in 4.173928636999335s: 3
[2026-08-03 15:34:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:34:32,741: INFO/MainProcess] Task app.tasks.snmp_poll_task[3468d932-fccd-4d23-b419-83a6f2800d27] succeeded in 1.3275158959986584s: 'green'
[2026-08-03 15:34:34,078: INFO/MainProcess] Task app.tasks.snmp_poll_task[32e295b3-50ea-4947-b27c-db41021acb34] succeeded in 1.3358678139993572s: 'green'
[2026-08-03 15:34:35,386: INFO/MainProcess] Task app.tasks.snmp_poll_task[a81aa8e9-d7d3-47f5-a6f2-467633e1cf9d] succeeded in 1.3075566139996226s: 'green'
[2026-08-03 15:34:35,386: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[7dc20768-8fd8-450b-938a-c3a1c715ad02] succeeded in 3.975333225000213s: 3
[2026-08-03 15:35:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:35:32,726: INFO/MainProcess] Task app.tasks.snmp_poll_task[9cae8cf5-5fbc-45ab-a737-d5fa5c794615] succeeded in 1.3112974769974244s: 'green'
[2026-08-03 15:35:34,180: INFO/MainProcess] Task app.tasks.snmp_poll_task[e06ab2fc-1840-4b6c-ba00-8b5fda4c219c] succeeded in 1.4527433789990027s: 'green'
[2026-08-03 15:35:35,517: INFO/MainProcess] Task app.tasks.snmp_poll_task[5427f19d-c328-4b08-a528-5ee64caf362b] succeeded in 1.336117857001227s: 'green'
[2026-08-03 15:35:35,517: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[d57cdd6a-ca2d-4b90-8b17-80d8874ce791] succeeded in 4.105846820999432s: 3
[2026-08-03 15:36:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:36:32,874: INFO/MainProcess] Task app.tasks.snmp_poll_task[753c04bd-1c85-4409-9a2a-8d1e7fe4fd7f] succeeded in 1.4582464990016888s: 'green'
[2026-08-03 15:36:34,185: INFO/MainProcess] Task app.tasks.snmp_poll_task[a2c6961b-3b1a-48b6-8883-970c84bae127] succeeded in 1.3106285329995444s: 'green'
[2026-08-03 15:36:35,623: INFO/MainProcess] Task app.tasks.snmp_poll_task[c2c2875a-cff7-4160-addc-516f7cd76bfc] succeeded in 1.437957368001662s: 'green'
[2026-08-03 15:36:35,623: INFO/MainProcess] Task app.tasks.run_snmp_poll_sweep_task[268ffb9d-8611-4f14-af3d-b2f719cc7400] succeeded in 4.212467810000817s: 3
[2026-08-03 15:37:31,410: INFO/MainProcess] Scheduler: Sending due task snmp-poll-sweep (app.tasks.run_snmp_poll_sweep_task)
[2026-08-03 15:37:32,744: INFO/MainProcess] Task app.tasks.snmp_poll_task[8b85862d-b8b0-4b3e-a623-3f024a13ac2c] succeeded in 1.3310665969984257s: 'green'
[2026-08-03 15:37:34,177: INFO/MainProcess] Task app.tasks.snmp_poll_task[2dcb2ba8-d93e-4076-b268-fde5c556b606] succeeded in 1.431957730997965s: 'green'
